driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
81,14,95.474,27.665,40.771,27.038,false,1:35.474
4,14,136.866,35.953,61.113,39.8,false,2:16.866
10,15,138.622,44.402,56.433,37.787,false,2:18.622
16,15,93.35,27.268,39.457,26.625,false,1:33.349
11,14,93.807,27.501,39.56,26.746,false,1:33.807
2,14,95.778,27.847,40.913,27.018,false,1:35.778
77,16,130.877,35.787,54.01,41.08,false,2:10.877
27,12,142.498,44.712,60.853,36.933,false,2:22.497
31,14,94.278,27.545,39.826,26.907,false,1:34.278
1,12,93.476,27.508,39.544,26.424,false,1:33.475
24,15,132.202,36.741,57.371,38.09,false,2:12.201
22,16,94.042,27.466,39.743,26.833,false,1:34.042
20,13,136.457,33.821,58.2,44.436,false,2:16.456
81,15,129.307,33.853,53.763,41.691,false,2:09.306
16,16,175.812,53.42,68.836,53.556,false,2:55.812
4,15,106.99,27.445,39.639,39.906,false,1:46.989
11,15,174.77,48.383,76.517,49.87,false,2:54.770
40,17,153.323,43.515,67.559,42.249,false,2:33.323
55,14,169.641,79.039,55.133,35.469,true,2:49.640
2,15,122.103,34.806,50.707,36.59,false,2:02.102
31,15,162.771,45.806,68.216,48.749,false,2:42.770
63,16,178.16,73.537,72.147,32.476,true,2:58.159
10,16,134.74,38.694,55.042,41.004,false,2:14.740
1,13,116.788,32.915,46.498,37.375,false,1:56.787
22,17,138.723,35.881,55.589,47.253,false,2:18.723
44,13,191.217,77.635,75.161,38.421,true,3:11.217
27,13,94.985,27.795,40.243,26.947,false,1:34.984
24,16,96.163,28.128,40.615,27.42,false,1:36.162
23,9,1438.117,,53.577,37.035,true,23:58.116
55,15,138.278,36.436,62.344,39.498,false,2:18.277
40,18,94.894,27.91,40.098,26.886,false,1:34.894
27,14,115.949,31.864,45.678,38.407,false,1:55.948
10,17,94.639,27.685,39.85,27.104,false,1:34.638
